week,year,name,team,opp,score,sacks,sack-yds,qb-hits,tackles,assists,fum-forced,fum-rec
7,12,Cliff Avril,DET,@ CHI,L 7-13,1.0,0.0,1,3,1,0,0
7,12,Connor Barwin,HOU,vs BAL,W  43-13,1.0,7.0,4,4,0,0,0
7,12,Navorro Bowman,SF,vs SEA,W  13-6,1.0,0.0,2,7,0,0,0
7,12,Michael Brockers,,vs GB,L 20-30,1.0,4.0,1,4,0,0,0
7,12,Sheldon Brown,CLE,@ IND,L 13-17,1.0,6.0,1,9,1,1,1
7,12,Miles Burris,OAK,vs ,W  26-23,1.0,10.0,1,4,3,0,0
7,12,Nick Eason,ARI,@ MIN,L 14-21,1.0,7.0,1,1,0,0,0
7,12,Junior Galette,NO,@ TB,W  35-28,1.0,5.0,1,4,0,0,0
7,12,Jonte Green,DET,@ CHI,L 7-13,1.0,2.0,1,3,1,0,0
7,12,David Harris,NYJ,@ NE,L 26-29,1.0,9.0,1,7,1,0,0
7,12,William Hayes,,vs GB,L 20-30,1.0,2.0,1,1,0,0,0
7,12,Dont'a Hightower,NE,vs NYJ,W  29-26,1.0,10.0,1,7,0,0,0
7,12,Lamarr Houston,OAK,vs ,W  26-23,1.0,6.0,2,5,3,1,0
7,12,Israel Idonije,CHI,vs DET,W  13-7,1.0,15.0,1,2,0,0,0
7,12,Michael Johnson,CIN,vs PIT,L 17-24,1.0,1.0,1,5,3,0,0
7,12,Jason Jones,SEA,@ SF,L 6-13,1.0,2.0,1,1,0,0,0
7,12,Cameron Jordan,NO,@ TB,W  35-28,1.0,4.0,2,1,0,1,0
7,12,Chris Kelsay,BUF,vs TEN,L 34-35,1.0,4.0,1,2,0,0,0
7,12,Terrance Knighton,,@ OAK,L 23-26,1.0,8.0,1,3,1,1,0
7,12,Kyle Love,NE,vs NYJ,W  29-26,1.0,4.0,1,2,0,0,0
7,12,Kaluka Maiava,CLE,@ IND,L 13-17,1.0,5.0,1,3,1,0,0
7,12,Clay Matthews,GB,@ ,W  30-20,1.0,9.0,2,2,0,0,0
7,12,Whitney Mercilus,HOU,vs BAL,W  43-13,1.0,2.0,1,1,0,1,0
7,12,Jeremy Mincey,,@ OAK,L 23-26,1.0,8.0,3,4,0,0,0
7,12,Dezman Moses,GB,@ ,W  30-20,1.0,0.0,0,1,0,0,0
7,12,Julius Peppers,CHI,vs DET,W  13-7,1.0,4.0,2,1,0,0,1
7,12,Jason Pierre-Paul,NYG,vs WAS,W  27-23,1.0,12.0,1,3,1,1,0
7,12,Robert Quinn,,vs GB,L 20-30,1.0,4.0,3,1,0,0,0
7,12,Frostee Rucker,CLE,@ IND,L 13-17,1.0,2.0,3,2,1,0,0
7,12,Greg Scruggs,SEA,@ SF,L 6-13,1.0,0.0,2,1,0,0,0
7,12,Richard Seymour,OAK,vs ,W  26-23,1.0,10.0,1,3,1,0,0
7,12,Aldon Smith,SF,vs SEA,W  13-6,1.0,7.0,1,3,1,0,0
7,12,Anthony Spencer,DAL,@ CAR,W  19-14,1.0,10.0,1,3,3,0,0
7,12,Brandon Spikes,NE,vs NYJ,W  29-26,1.0,2.0,1,8,3,0,0
7,12,Terrell Suggs,BAL,@ HOU,L 13-43,1.0,8.0,2,3,1,0,0
7,12,Ndamukong Suh,DET,@ CHI,L 7-13,1.0,8.0,2,1,0,0,0
7,12,Justin Tuck,NYG,vs WAS,W  27-23,1.0,8.0,2,4,2,0,0
7,12,Osi Umenyiora,NYG,vs WAS,W  27-23,1.0,6.0,1,1,1,0,0
7,12,Kyle Vanden Bosch,DET,@ CHI,L 7-13,1.0,6.0,2,2,0,0,0
7,12,Kevin Williams,MIN,vs ARI,W  21-14,1.0,9.0,1,2,0,0,1
7,12,Cary Williams,BAL,@ HOU,L 13-43,1.0,9.0,1,8,0,0,0
7,12,Kyle Williams,BUF,vs TEN,L 34-35,1.0,8.0,2,3,2,0,0
7,12,Kamerion Wimbley,TEN,@ BUF,W  35-34,1.0,9.0,1,4,2,1,0
7,12,Barry Cofield,WAS,@ NYG,L 23-27,0.5,4.0,3,2,3,0,0
7,12,Jermaine Cunningham,NE,vs NYJ,W  29-26,0.5,7.5,0,1,1,0,0
7,12,Justin Durant,DET,@ CHI,L 7-13,0.5,4.5,1,5,2,0,0
7,12,Robert Geathers,CIN,vs PIT,L 17-24,0.5,2.5,0,0,3,0,0
7,12,Jason Hatcher,DAL,@ CAR,W  19-14,0.5,3.5,1,1,1,0,0
7,12,Rob Jackson,WAS,@ NYG,L 23-27,0.5,4.0,1,1,0,0,0
7,12,Shea McClellin,CHI,vs DET,W  13-7,0.5,0.5,1,1,1,0,0
7,12,Rob Ninkovich,NE,vs NYJ,W  29-26,0.5,7.5,1,3,2,1,1
7,12,Stephen Paea,CHI,vs DET,W  13-7,0.5,0.5,1,0,2,0,0
7,12,Devon Still,CIN,vs PIT,L 17-24,0.5,2.5,0,1,1,1,0
7,12,Stephen Tulloch,DET,@ CHI,L 7-13,0.5,4.5,1,5,1,0,0
7,12,Erik Walden,GB,@ ,W  30-20,0.5,0.0,2,7,2,0,0
7,12,DeMarcus Ware,DAL,@ CAR,W  19-14,0.5,3.5,1,3,5,0,1
7,12,C.J. Wilson,GB,@ ,W  30-20,0.5,0.0,1,1,1,0,0
7,12,Antoine Winfield,MIN,vs ARI,W  21-14,0.5,0.0,1,9,2,0,0
7,12,Isa Abdul-Quddus,NO,@ TB,W  35-28,0.0,0.0,0,2,1,0,0
7,12,Sam Acho,ARI,@ MIN,L 14-21,0.0,0.0,1,1,3,0,0
7,12,Michael Adams,ARI,@ MIN,L 14-21,0.0,0.0,0,0,0,0,0
7,12,Phillip Adams,OAK,vs ,W  26-23,0.0,0.0,0,2,0,0,0
7,12,Mario Addison,WAS,@ NYG,L 23-27,0.0,0.0,0,0,0,0,0
7,12,Al Afalava,TEN,@ BUF,W  35-34,0.0,0.0,0,2,2,0,0
7,12,Lorenzo Alexander,WAS,@ NYG,L 23-27,0.0,0.0,1,2,2,0,0
7,12,Will Allen,PIT,@ CIN,W  24-17,0.0,0.0,0,0,2,0,0
7,12,Antonio Allen,NYJ,@ NE,L 26-29,0.0,0.0,0,0,1,0,0
7,12,Anthony Allen,BAL,@ HOU,L 13-43,0.0,0.0,0,0,0,0,0
7,12,Cortez Allen,PIT,@ CIN,W  24-17,0.0,0.0,0,0,1,0,0
7,12,Russell Allen,,@ OAK,L 23-26,0.0,0.0,1,4,0,0,0
7,12,Tyson Alualu,,@ OAK,L 23-26,0.0,0.0,0,1,0,0,0
7,12,Prince Amukamara,NYG,vs WAS,W  27-23,0.0,0.0,0,5,1,0,0
7,12,James Anderson,CAR,vs DAL,L 14-19,0.0,0.0,0,7,5,0,0
7,12,Pat Angerer,IND,vs CLE,W  17-13,0.0,0.0,2,2,1,0,0
7,12,Kyle Arrington,NE,vs NYJ,W  29-26,0.0,0.0,0,6,0,0,0
7,12,David Ausberry,OAK,vs ,W  26-23,0.0,0.0,0,0,0,0,0
7,12,Marvin Austin,NYG,vs WAS,W  27-23,0.0,0.0,0,2,0,0,0
7,12,Brendon Ayanbadejo,BAL,@ HOU,L 13-43,0.0,0.0,0,0,0,0,0
7,12,Akeem Ayers,TEN,@ BUF,W  35-34,0.0,0.0,1,3,1,0,0
7,12,Jordan Babineaux,TEN,@ BUF,W  35-34,0.0,0.0,1,8,4,0,0
7,12,Patrick Bailey,TEN,@ BUF,W  35-34,0.0,0.0,0,0,0,0,0
7,12,Chris Baker,WAS,@ NYG,L 23-27,0.0,0.0,0,1,1,0,0
7,12,Doug Baldwin,SEA,@ SF,L 6-13,0.0,0.0,0,0,0,0,0
7,12,Alan Ball,HOU,vs BAL,W  43-13,0.0,0.0,0,0,0,0,0
7,12,Christian Ballard,MIN,vs ARI,W  21-14,0.0,0.0,1,0,0,0,0
7,12,Ronde Barber,TB,vs NO,L 28-35,0.0,0.0,0,4,2,0,0
7,12,Nick Barnett,BUF,vs TEN,L 34-35,0.0,0.0,0,5,4,0,0
7,12,Mark Barron,TB,vs NO,L 28-35,0.0,0.0,0,6,1,0,0
7,12,Baron Batch,PIT,@ CIN,W  24-17,0.0,0.0,0,0,0,0,0
7,12,Yeremiah Bell,NYJ,@ NE,L 26-29,0.0,0.0,0,5,0,0,0
7,12,Byron Bell,CAR,vs DAL,L 14-19,0.0,0.0,0,0,0,0,0
7,12,Michael Bennett,TB,vs NO,L 28-35,0.0,0.0,0,1,0,0,0
7,12,Antoine Bethea,IND,vs CLE,W  17-13,0.0,0.0,0,4,2,0,0
7,12,E.J. Biggers,TB,vs NO,L 28-35,0.0,0.0,0,5,0,0,0
7,12,Matt Birk,BAL,@ HOU,L 13-43,0.0,0.0,0,0,0,0,0
8,12,Greg Hardy,CAR,@ CHI,L 22-23,3.0,25.0,3,5,0,0,0
8,12,Charles Johnson,CAR,@ CHI,L 22-23,2.0,26.0,1,3,0,2,1
8,12,Linval Joseph,NYG,@ DAL,W  29-24,2.0,1.0,2,2,1,0,0
8,12,Aldon Smith,SF,@ ARI,W  24-3,2.0,18.0,2,6,0,0,0
8,12,Daryl Washington,ARI,vs SF,L 3-24,2.0,12.0,2,6,0,0,0
8,12,Julius Peppers,CHI,vs CAR,W  23-22,1.5,11.5,2,1,2,0,0
8,12,John Abraham,ATL,@ PHI,W  30-17,1.0,4.0,1,3,0,0,0
8,12,Jared Allen,MIN,vs TB,L 17-36,1.0,5.0,2,3,2,0,0
8,12,Akeem Ayers,TEN,vs IND,L 13-19,1.0,7.0,2,3,4,0,0
8,12,Michael Bennett,TB,@ MIN,W  36-17,1.0,5.0,1,4,1,1,0
8,12,Kroy Biermann,ATL,@ PHI,W  30-17,1.0,7.0,1,5,2,0,0
8,12,Navorro Bowman,SF,@ ARI,W  24-3,1.0,9.0,1,1,0,0,0
8,12,Andre Branch,,@ GB,L 15-24,1.0,7.0,1,1,0,1,1
8,12,Ahmad Brooks,SF,@ ARI,W  24-3,1.0,5.0,1,2,0,0,0
8,12,Kevin Burnett,MIA,@ NYJ,W  30-9,1.0,5.0,1,5,1,0,0
8,12,Morgan Burnett,GB,vs ,W  24-15,1.0,16.0,1,9,2,1,1
8,12,Calais Campbell,ARI,vs SF,L 3-24,1.0,6.0,1,6,0,0,0
8,12,Chris Canty,NYG,@ DAL,W  29-24,1.0,12.0,3,2,0,0,0
8,12,Nolan Carroll,MIA,@ NYJ,W  30-9,1.0,5.0,0,7,1,1,0
8,12,Thomas DeCoud,ATL,@ PHI,W  30-17,1.0,2.0,1,6,3,0,0
8,12,Darnell Dockett,ARI,vs SF,L 3-24,1.0,10.0,1,4,0,0,0
8,12,Dwan Edwards,CAR,@ CHI,L 22-23,1.0,4.0,1,2,0,0,0
8,12,Larry Foote,PIT,vs WAS,W  27-12,1.0,8.0,1,5,1,0,0
8,12,Mason Foster,TB,@ MIN,W  36-17,1.0,10.0,1,3,2,0,1
8,12,LeRoy Hill,SEA,@ DET,L 24-28,1.0,9.0,1,2,0,0,0
8,12,Jerry Hughes,IND,@ TEN,W  19-13,1.0,1.0,1,1,0,0,0
8,12,Cullen Jenkins,PHI,vs ATL,L 17-30,1.0,11.0,1,3,0,0,0
8,12,Chandler Jones,NE,@ ,W  45-7,1.0,17.0,1,2,0,0,0
8,12,Brad Jones,GB,vs ,W  24-15,1.0,8.0,1,7,3,1,0
8,12,Ryan Kerrigan,WAS,@ PIT,L 12-27,1.0,7.0,1,4,0,0,0
8,12,Corey Liuget,SD,@ CLE,L 6-7,1.0,9.0,1,2,3,0,0
8,12,Rolando McClain,OAK,@ KC,W  26-16,1.0,7.0,1,4,0,1,0
8,12,Brandon Mebane,SEA,@ DET,L 24-28,1.0,12.0,1,5,1,0,0
8,12,Jeremy Mincey,,@ GB,L 15-24,1.0,7.0,1,4,1,0,0
8,12,Drake Nevis,IND,@ TEN,W  19-13,1.0,8.0,1,2,0,0,0
8,12,Rob Ninkovich,NE,@ ,W  45-7,1.0,8.0,2,1,0,0,0
8,12,Calvin Pace,NYJ,vs MIA,L 9-30,1.0,9.0,1,3,1,0,0
8,12,Jason Pierre-Paul,NYG,@ DAL,W  29-24,1.0,9.0,1,3,1,0,0
8,12,Richard Seymour,OAK,@ KC,W  26-16,1.0,3.0,1,2,0,0,0
8,12,Daniel Te'o-Nesheim,TB,@ MIN,W  36-17,1.0,7.0,2,1,2,0,0
8,12,Bryan Thomas,NYJ,vs MIA,L 9-30,1.0,1.0,1,3,1,0,0
8,12,Cedric Thornton,PHI,vs ATL,L 17-30,1.0,5.0,1,3,1,0,0
8,12,Cameron Wake,MIA,@ NYJ,W  30-9,1.0,7.0,2,1,0,0,0
8,12,DeMarcus Ware,DAL,vs NYG,L 24-29,1.0,2.0,1,3,0,0,0
8,12,Philip Wheeler,OAK,@ KC,W  26-16,1.0,12.0,2,11,0,0,0
8,12,Jimmy Wilson,MIA,@ NYJ,W  30-9,1.0,8.0,1,2,0,0,0
8,12,Billy Winn,CLE,vs SD,W  7-6,1.0,6.0,1,1,0,0,1
