"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16656-34331","RB","Latavius","Murray","11.625","4","5900","OAK@JAC","OAK","JAC","Q","Toe","",""
"16656-6448","TE","Martellus","Bennett","12.300000508626303","6","5800","NE@PIT","NE","PIT","Q","Ankle","",""
"16656-31241","WR","Sammie","Coates","10.683333079020182","6","5800","NE@PIT","PIT","NE","","","",""
"16656-11425","RB","Ryan","Mathews","9.84000015258789","5","5800","MIN@PHI","PHI","MIN","","","",""
"16656-25813","WR","Phillip","Dorsett","6.349999745686849","6","5800","IND@TEN","IND","TEN","Q","Hamstring","",""
"16656-40845","TE","Hunter","Henry","11.3","5","5800","SD@ATL","SD","ATL","","","",""
"16656-22004","TE","Dwayne","Allen","7.033333460489909","6","5700","IND@TEN","IND","TEN","Q","Ankle","",""
"16656-29685","WR","Robert","Woods","7.183333079020183","6","5700","BUF@MIA","BUF","MIA","Q","Foot","",""
"16656-31732","WR","Corey","Coleman","16.399999618530273","2","5700","CLE@CIN","CLE","CIN","O","Hand","",""
"16656-28573","WR","Michael","Thomas","12.34000015258789","5","5700","NO@KC","NO","KC","","","",""
"16656-11495","WR","Brandon","LaFell","9.700000127156576","6","5700","CLE@CIN","CIN","CLE","","","",""
"16656-25272","TE","Eric","Ebron","9","4","5600","WAS@DET","DET","WAS","Q","Knee","",""
"16656-32613","RB","DeAndre","Washington","5.333333333333333","6","5600","OAK@JAC","OAK","JAC","","","",""
"16656-14288","WR","Torrey","Smith","6.033333460489909","6","5600","TB@SF","SF","TB","","","",""
"16656-10777","RB","Arian","Foster","4.966666539510091","3","5600","BUF@MIA","MIA","BUF","","","",""
"16656-14645","WR","Dontrelle","Inman","5.149999936421712","6","5600","SD@ATL","SD","ATL","","","",""
"16656-22163","WR","Rishard","Matthews","8.283333460489908","6","5600","IND@TEN","TEN","IND","","","",""
"16656-22018","WR","Mohamed","Sanu","7.783333460489909","6","5600","SD@ATL","ATL","SD","","","",""
"16656-14336","RB","Jacquizz","Rodgers","6.125","4","5600","TB@SF","TB","SF","","","",""
