year,place,team,adj-line-yards,rb-yards,power-sucess,power rank,stuffed,stuffed-rank,2nd_level_yds,2nd_level_rank,open_field_yds,open_field_rank
11,28,NYG,3.81,3.77,53%,27,19%,15,1.05,29,0.49,29
11,29,KC,3.81,3.89,62%,19,20%,21,1.11,25,0.55,27
11,30,STL,3.75,4.22,48%,31,20%,20,1.25,10,0.72,22
11,31,DET,3.70,4.22,52%,28,21%,25,1.13,21,0.89,14
11,32,TEN,3.39,3.78,72%,3,24%,29,1.03,31,0.81,18
11,x,NFL,x,4.31,62%,x,19%,x,1.08,x,0.74,x
12,1,SF,4.50,4.74,66%,12,17%,7,1.49,1,0.79,14
12,2,NYG,4.47,4.75,67%,8,19%,18,1.38,7,0.96,7
12,3,NE,4.45,4.32,66%,13,18%,10,1.33,9,0.63,22
12,4,SEA,4.42,4.83,70%,4,15%,1,1.42,2,0.94,8
12,5,NYJ,4.38,4.00,67%,10,16%,2,1.06,24,0.45,29
12,6,BAL,4.33,4.53,64%,14,16%,4,1.22,14,0.87,11
12,7,BUF,4.25,5.15,57%,26,17%,8,1.42,3,1.14,4
12,8,WAS,4.24,4.72,58%,24,16%,3,1.40,5,0.85,13
12,9,HOU,4.17,4.34,61%,18,20%,23,1.26,10,0.85,12
12,10,MIN,4.17,5.67,53%,30,24%,29,1.41,4,2.08,1
12,11,CIN,4.15,4.17,69%,5,17%,9,0.91,31,0.90,10
12,12,DEN,4.13,4.07,67%,9,20%,20,1.19,16,0.53,25
12,13,TB,4.09,4.50,60%,22,20%,22,1.19,15,1.09,5
12,14,STL,4.08,4.30,63%,16,20%,21,1.26,11,0.76,16
12,15,DET,4.05,4.01,56%,27,17%,5,1.10,20,0.49,27
12,16,CHI,4.05,4.08,57%,25,21%,25,1.12,19,0.73,18
12,17,JAC,4.05,3.89,61%,20,19%,15,1.01,28,0.58,23
12,18,NO,4.04,4.40,71%,3,19%,14,1.25,12,0.90,9
12,19,KC,4.04,4.84,59%,23,20%,19,1.33,8,1.25,2
12,20,CLE,4.03,3.79,53%,29,19%,16,1.08,23,0.40,31
12,21,MIA,3.93,4.15,63%,17,18%,11,1.14,17,0.76,17
12,22,DAL,3.92,3.78,63%,15,19%,12,1.04,25,0.52,26
12,23,SD,3.91,3.71,60%,21,17%,6,1.01,27,0.41,30
12,24,ATL,3.87,3.69,39%,32,23%,27,1.03,26,0.66,21
12,25,GB,3.86,3.58,68%,7,19%,13,0.97,29,0.28,32
12,26,IND,3.76,3.78,72%,2,25%,30,1.23,13,0.48,28
12,27,PIT,3.72,3.71,61%,19,19%,17,0.95,30,0.54,24
12,28,PHI,3.56,4.47,69%,6,26%,31,1.39,6,1.06,6
12,29,OAK,3.52,3.90,55%,28,21%,24,1.10,21,0.78,15
12,30,CAR,3.49,3.88,75%,1,23%,26,1.08,22,0.72,19
12,31,TEN,3.35,4.21,67%,11,24%,28,1.13,18,1.19,3
12,32,ARI,2.93,3.26,48%,31,27%,32,0.85,32,0.66,20
12,x,NFL,x,4.25,63%,x,20%,x,1.07,x,0.72,x
13,1,NE,4.63,4.69,59%,23,16%,4,1.39,2,0.80,12
13,2,KC,4.33,4.58,65%,16,16%,7,1.27,8,0.91,9
13,3,SD,4.26,4.20,74%,5,12%,1,1.10,17,0.50,27
13,4,DAL,4.23,4.66,68%,11,15%,2,1.29,6,1.02,4
13,5,GB,4.11,4.52,83%,1,16%,5,1.24,10,0.95,8
13,6,HOU,4.10,4.20,56%,26,20%,17,1.31,3,0.53,26
13,7,NO,4.08,4.11,67%,13,21%,23,1.22,12,0.65,18
13,8,DEN,4.07,4.38,64%,17,16%,3,1.30,4,0.63,20
13,9,SEA,4.05,4.03,49%,32,19%,15,1.17,13,0.59,23
13,10,MIN,4.04,4.78,79%,2,20%,20,1.29,7,1.26,1
13,11,CIN,4.03,3.70,63%,19,18%,9,0.96,26,0.37,30
13,12,STL,3.95,3.95,58%,25,19%,13,1.05,20,0.68,16
13,13,DET,3.94,4.23,76%,3,19%,12,1.26,9,0.68,17
13,14,CAR,3.91,3.87,72%,8,19%,14,1.04,22,0.54,25
13,15,IND,3.89,3.96,65%,15,18%,10,1.09,19,0.63,21
13,16,BUF,3.85,4.38,65%,14,18%,11,1.14,14,0.96,6
13,17,ARI,3.84,3.89,73%,6,19%,16,1.00,24,0.71,15
