year,place,team,adj-line-yards,rb-yards,power-sucess,power rank,stuffed,stuffed-rank,2nd_level_yds,2nd_level_rank,open_field_yds,open_field_rank
14,26,GB,4.21,4.09,63%,14,17%,25,1.19,21,0.42,1
14,27,CIN,4.24,4.31,69%,23,17%,24,1.27,27,0.60,12
14,28,NYG,4.31,4.81,62%,13,16%,27,1.37,31,1.00,29
14,29,CLE,4.36,4.45,58%,8,15%,29,1.32,28,0.67,14
14,30,CHI,4.38,4.45,53%,2,15%,31,1.12,13,0.84,24
14,31,MIN,4.56,4.49,73%,26,14%,32,1.25,25,0.64,13
14,32,KC,4.57,4.96,55%,4,18%,23,1.57,32,0.84,25
14,x,NFL,x,4.14,65%,x,19%,x,1.02,x,0.65,x
15,1,NYJ,2.93,3.35,62%,12,28%,1,0.96,4,0.55,6
15,2,ARI,3.05,3.71,62%,13,27%,2,1.05,8,0.87,21
15,3,DEN,3.08,3.07,83%,31,24%,5,0.73,1,0.37,2
15,4,CAR,3.21,3.78,87%,32,24%,6,1.02,6,0.76,15
15,5,DET,3.30,4.08,56%,7,24%,4,1.06,11,1.02,28
15,6,STL,3.39,3.97,63%,14,24%,7,1.13,17,0.90,24
15,7,KC,3.50,3.83,50%,2,22%,10,1.06,10,0.58,8
15,8,JAC,3.51,3.68,68%,19,23%,9,1.11,15,0.58,9
15,9,HOU,3.51,4.17,59%,8,21%,13,1.14,19,0.88,23
15,10,MIA,3.53,4.08,66%,16,24%,8,1.21,23,0.84,19
15,11,GB,3.55,4.15,67%,17,25%,3,1.21,24,0.92,25
15,12,SEA,3.60,3.54,72%,26,21%,15,0.94,3,0.42,3
15,13,NE,3.62,3.92,60%,10,19%,21,1.02,7,0.66,11
15,14,CIN,3.64,4.20,60%,10,22%,11,1.11,16,0.94,26
15,15,TB,3.73,3.55,69%,23,21%,16,1.07,13,0.29,1
15,16,PIT,3.73,3.80,55%,5,21%,14,1.13,18,0.56,7
15,17,IND,3.75,4.16,59%,9,20%,18,1.05,9,1.00,27
15,18,OAK,3.75,3.93,53%,4,22%,12,1.07,12,0.72,13
15,19,ATL,3.80,4.06,73%,27,18%,22,1.15,20,0.80,17
15,20,BAL,3.90,3.96,68%,21,18%,24,0.94,2,0.67,12
15,21,DAL,3.91,4.31,76%,30,21%,17,1.35,29,0.74,14
15,22,NYG,3.97,4.35,67%,17,20%,19,1.18,21,0.88,22
15,23,PHI,4.00,4.57,74%,29,17%,27,1.18,22,1.04,29
15,24,WAS,4.01,4.68,49%,1,19%,20,1.35,30,1.07,30
15,25,MIN,4.01,4.23,53%,3,18%,23,1.22,25,0.63,10
15,26,TEN,4.10,3.91,56%,6,18%,26,1.10,14,0.44,4
15,27,SF,4.16,4.19,64%,15,17%,29,1.01,5,0.81,18
15,28,SD,4.22,4.95,73%,27,18%,25,1.38,31,1.21,32
15,29,BUF,4.32,4.52,72%,25,16%,31,1.24,26,0.77,16
15,30,CLE,4.34,4.57,70%,24,17%,28,1.27,28,0.86,20
15,31,NO,4.35,5.06,68%,20,16%,30,1.46,32,1.20,31
15,32,CHI,4.59,4.33,68%,21,15%,32,1.27,27,0.44,5
15,x,NFL,x,4.09,65%,x,21%,x,1.01,x,0.69,x
16,1,PHI,3.16,4.15,50%,14,25%,3,1.17,16,1.11,30
16,2,ARI,3.21,3.27,62%,30,24%,4,0.98,5,0.33,2
16,3,BAL,3.26,3.47,36%,2,22%,9,0.88,1,0.60,12
16,4,LARM,3.34,4.34,58%,28,29%,1,1.22,21,1.21,31
16,5,CAR,3.36,3.67,54%,20,23%,7,1.08,9,0.58,11
16,6,GB,3.40,4.03,46%,9,23%,8,1.12,12,0.93,26
16,7,NYJ,3.42,4.38,52%,19,26%,2,1.30,27,1.11,29
16,8,JAC,3.51,3.88,65%,32,22%,12,0.94,2,0.87,24
16,9,SD,3.53,3.76,62%,30,23%,6,1.20,17,0.64,13
16,10,PIT,3.66,4.28,52%,18,23%,5,1.24,23,0.99,27
16,11,NO,3.67,3.83,56%,24,21%,13,1.09,10,0.66,15
16,12,TEN,3.69,4.03,45%,8,18%,19,0.99,7,0.75,22
16,13,NE,3.69,3.65,48%,12,17%,21,1.03,8,0.31,1
16,14,DAL,3.75,4.15,48%,13,22%,10,1.29,26,0.67,18
16,15,SEA,3.78,3.61,54%,21,21%,14,0.98,6,0.36,4
16,16,MIA,3.90,4.41,44%,6,22%,11,1.40,31,0.80,23
16,17,HOU,3.94,3.98,34%,1,16%,24,1.15,14,0.53,9
16,18,CHI,3.96,3.88,47%,11,17%,23,1.11,11,0.36,3
16,19,CIN,3.97,4.55,36%,2,17%,22,1.31,29,0.90,25
16,20,NYG,4.03,3.77,46%,9,16%,25,0.95,4,0.44,5
16,21,TB,4.06,4.04,37%,4,20%,15,1.25,24,0.51,8
16,22,BUF,4.07,4.18,50%,14,19%,16,1.22,20,0.64,14
16,23,MIN,4.08,4.23,56%,23,16%,26,1.12,13,0.66,16
16,24,DET,4.09,4.33,58%,27,15%,29,1.21,19,0.72,20
16,25,ATL,4.19,4.02,59%,29,19%,17,1.20,18,0.45,6
16,26,KC,4.22,4.29,45%,7,18%,18,1.30,28,0.47,7
16,27,WAS,4.24,4.48,56%,24,18%,20,1.41,32,0.72,21
16,28,DEN,4.31,4.13,55%,22,11%,32,0.95,3,0.57,10
16,29,OAK,4.32,4.68,50%,14,14%,31,1.15,15,1.02,28
16,30,SF,4.42,4.99,52%,17,15%,27,1.27,25,1.24,32
16,31,IND,4.48,4.58,42%,5,15%,27,1.35,30,0.67,17
16,32,CLE,4.63,4.54,57%,26,15%,30,1.24,22,0.70,19
16,x,NFL,x,4.13,51%,x,19%,x,1.03,x,0.63,x
