"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16864-14288","WR","Torrey","","Smith","5.150000095367432","8","5200","SF@ARI","SF","ARI","","","",""
"16864-11864","RB","Chris","","Ivory","5.533333460489909","6","5200","HOU@JAC","JAC","HOU","","","",""
"16864-43504","RB","Don","","Jackson","1.0666666825612385","3","5200","GB@TEN","GB","TEN","","","",""
"16864-12546","D","Arizona","","Cardinals","10","8","5200","SF@ARI","ARI","SF","","","",""
"16864-24671","WR","Adam","","Humphries","7.25","8","5200","CHI@TB","TB","CHI","","","",""
"16864-14643","RB","DuJuan","","Harris","13.699999809265137","2","5200","SF@ARI","SF","ARI","","","",""
"16864-27908","TE","C.J.","","Fiedorowicz","7.362500190734863","8","5200","HOU@JAC","HOU","JAC","","","",""
"16864-31836","WR","Terrance","","Williams","7.357142857142857","7","5200","DAL@PIT","DAL","PIT","","","",""
"16864-7784","WR","Darrius","","Heyward-Bey","5.549999872843425","6","5200","DAL@PIT","PIT","DAL","Q","Foot","",""
"16864-39445","WR","Brice","","Butler","3.75","8","5100","DAL@PIT","DAL","PIT","","","",""
"16864-41370","WR","Trevor","","Davis","1.414285659790039","7","5100","GB@TEN","GB","TEN","","","",""
"16864-7972","RB","Darren","","Sproles","8.887499809265137","8","5100","ATL@PHI","PHI","ATL","","","",""
"16864-7900","K","Stephen","","Gostkowski","7.875","8","5100","SEA@NE","NE","SEA","","","",""
"16864-10647","K","Matt","","Bryant","11","9","5100","ATL@PHI","ATL","PHI","","","",""
"16864-6768","WR","Eddie","","Royal","11.050000508626303","6","5100","CHI@TB","CHI","TB","Q","Toe","",""
"16864-14349","WR","Jeremy","","Kerley","7.974999904632568","8","5100","SF@ARI","SF","ARI","","","",""
"16864-8803","QB","Chase","","Daniel","-0.019999999552965164","2","5000","ATL@PHI","PHI","ATL","","","",""
"16864-30652","WR","Tanner","","McEvoy","3.22400016784668","5","5000","SEA@NE","SEA","NE","","","",""
"16864-21952","WR","Michael","","Floyd","7.600000108991351","7","5000","SF@ARI","ARI","SF","","","",""
"16864-29593","WR","Marqise","","Lee","7.537499904632568","8","5000","HOU@JAC","JAC","HOU","","","",""
"16864-47772","QB","Brandon","","Doughty","0","0","5000","MIA@SD","MIA","SD","","","",""
"16864-41732","QB","Christian","","Hackenberg","0","0","5000","LA@NYJ","NYJ","LA","NA","Coach's decision","",""
"16864-14237","TE","Kyle","","Rudolph","9.037500381469727","8","5000","MIN@WAS","MIN","WAS","","","",""
"16864-45797","QB","Garrett","","Grayson","0","1","5000","DEN@NO","NO","DEN","","","",""
"16864-29445","QB","Sean","","Mannion","1.2400000095367432","1","5000","LA@NYJ","LA","NYJ","NA","Coach's decision","",""
"16864-53331","QB","Taylor","","Heinicke","0","0","5000","MIN@WAS","MIN","WAS","O","Ankle","",""
"16864-54705","QB","Dustin","","Vaughan","0","0","5000","DAL@PIT","PIT","DAL","","","",""
"16864-6373","QB","Derek","","Anderson","7.506666819254558","3","5000","KC@CAR","CAR","KC","","","",""
"16864-32366","QB","Jameill","","Showers","0","0","5000","DAL@PIT","DAL","PIT","","","",""
"16864-31421","QB","Zach","","Mettenberger","7.028571537562779","7","5000","DAL@PIT","PIT","DAL","NA","Coach's decision","",""
"16864-12553","D","Carolina","","Panthers","7.875","8","5000","KC@CAR","CAR","KC","","","",""
"16864-27801","QB","Nate","","Sudfeld","0","0","5000","MIN@WAS","WAS","MIN","","","",""
"16864-33702","QB","Ryan","","Griffin","0","0","5000","CHI@TB","TB","CHI","NA","Coach's decision","",""
"16864-26877","QB","Jake","","Heaps","0","0","5000","SEA@NE","SEA","NE","","","",""
"16864-31170","QB","Brandon","","Allen","0","0","5000","HOU@JAC","JAC","HOU","NA","Coach's decision","",""
"16864-8051","QB","Luke","","McCown","6.199999809265137","2","5000","DEN@NO","NO","DEN","","","",""
