"QB","RB","RB","WR","WR","WR","TE","K","D","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"","","","","","","","","","","17202-24755:Jamison Crowder","17202-24755","WR","Jamison","","Crowder","12.791666666666666","12","6400","WAS@PHI","WAS","PHI","","","",""
"","","","","","","","","","","17202-6803:Josh McCown","17202-6803","QB","Josh","","McCown","11.61999969482422","5","6400","CIN@CLE","CLE","CIN","Q","Finger","",""
"","","","","","","","","","","17202-6914:Greg Olsen","17202-6914","TE","Greg","","Olsen","11.041666666666666","12","6400","SD@CAR","CAR","SD","","","",""
"","","","","","","","","","","17202-45889:Davante Adams","17202-45889","WR","Davante","","Adams","12.90000025431315","12","6400","SEA@GB","GB","SEA","","","",""
"","","","","","","","","","","17202-31561:Donte Moncrief","17202-31561","WR","Donte","","Moncrief","11.085714067731585","7","6400","HOU@IND","IND","HOU","","","",""
"","","","","","","","","","","17202-11485:Golden Tate","17202-11485","WR","Golden","","Tate","10.541666666666666","12","6300","CHI@DET","DET","CHI","","","",""
"","","","","","","","","","","17202-33465:Theo Riddick","17202-33465","RB","Theo","","Riddick","13.530000305175781","10","6300","CHI@DET","DET","CHI","","","",""
"","","","","","","","","","","17202-22288:Cole Beasley","17202-22288","WR","Cole","","Beasley","10.641666412353515","12","6300","DAL@NYG","DAL","NYG","","","",""
"","","","","","","","","","","17202-29501:Brandin Cooks","17202-29501","WR","Brandin","","Cooks","13.53636308149858","11","6300","NO@TB","NO","TB","","","",""
"","","","","","","","","","","17202-14194:Blaine Gabbert","17202-14194","QB","Blaine","","Gabbert","13.199999491373697","6","6300","NYJ@SF","SF","NYJ","","","",""
"","","","","","","","","","","17202-21941:Robert Griffin III","17202-21941","QB","Robert","","Griffin III","10.300000190734863","1","6200","CIN@CLE","CLE","CIN","IR","Shoulder","",""
"","","","","","","","","","","17202-22163:Rishard Matthews","17202-22163","WR","Rishard","","Matthews","11.074999491373697","12","6200","DEN@TEN","TEN","DEN","","","",""
