"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17288-31874","RB","Kenneth","","Farrow","2.3375000953674316","8","6000","OAK@SD","SD","OAK","","","",""
"17288-9392","WR","Michael","","Crabtree","12.315385084885816","13","6000","OAK@SD","OAK","SD","Q","Finger","",""
"17288-25812","QB","Stephen","","Morris","0","0","6000","IND@MIN","IND","MIN","","","",""
"17288-54604","QB","Jimmy","","Garoppolo","8.859999656677246","4","6000","NE@DEN","NE","DEN","","","",""
"17288-14696","QB","Scott","","Tolzien","5.46999979019165","2","6000","IND@MIN","IND","MIN","","","",""
"17288-21959","QB","Brandon","","Weeden","11.403333028157552","6","6000","JAC@HOU","HOU","JAC","","","",""
"17288-6639","QB","Tony","","Romo","11.914999961853027","4","6000","TB@DAL","DAL","TB","","","",""
"17288-22027","QB","Nick","","Foles","14","2","6000","TEN@KC","KC","TEN","","","",""
"17288-6679","QB","Matt","","Schaub","-0.10000000149011612","2","6000","SF@ATL","ATL","SF","","","",""
"17288-30231","QB","Jacoby","","Brissett","9.433333079020181","3","6000","NE@DEN","NE","DEN","IR","Thumb","",""
"17288-7744","QB","Drew","","Stanton","3.265000104904175","4","6000","NO@ARI","ARI","NO","","","",""
"17288-7778","QB","Matt","","Cassel","0.25","2","6000","TEN@KC","TEN","KC","","","",""
"17288-6803","QB","Josh","","McCown","11.61999969482422","5","6000","CLE@BUF","CLE","BUF","","","",""
"17288-33463","QB","Paxton","","Lynch","9.793333053588867","3","6000","NE@DEN","DEN","NE","","","",""
"17288-6844","QB","Shaun","","Hill","5.239999771118164","2","6000","IND@MIN","MIN","IND","","","",""
"17288-7872","QB","Brian","","Hoyer","13.266666412353515","6","6000","GB@CHI","CHI","GB","IR","Forearm","",""
"17288-27405","QB","Landry","","Jones","2.306666692097982","6","6000","PIT@CIN","PIT","CIN","","","",""
"17288-7970","QB","Charlie","","Whitehurst","10.380000114440918","1","6000","CLE@BUF","CLE","BUF","","","",""
